grid_id,population,floating,competitor_cnt,transport_cnt,score,rank,name
0006_0006,5.0,0.0,0.0,1.0,1.0,1,0006_0006
0008_0007,1.0,0.0,0.0,2.0,1.0,2,0008_0007
0002_0012,0.0,0.0,0.0,2.0,0.888888888888889,3,0002_0012
0004_0006,4.0,0.0,0.0,1.0,0.888888888888889,4,0004_0006
0005_0007,8.0,0.0,0.0,0.0,0.888888888888889,5,0005_0007
0007_0010,0.0,0.0,0.0,2.0,0.888888888888889,6,0007_0010
0005_0013,0.0,0.0,1.0,2.0,0.8421052631578947,7,0005_0013
0017_0006,2.0,0.0,0.0,1.0,0.6666666666666667,8,0017_0006
0013_0006,0.0,0.0,6.0,2.0,0.608187134502924,9,0013_0006
0002_0010,0.0,0.0,0.0,1.0,0.4444444444444445,10,0002_0010
