grid_id,population,floating,competitor_cnt,transport_cnt,score,rank,name
0013_0014,2.0,0.0,0.0,1.0,1.0,1,0013_0014
0004_0034,0.0,0.0,0.0,1.0,0.6000000000000001,2,0004_0034
0011_0021,0.0,0.0,0.0,1.0,0.6000000000000001,3,0011_0021
0013_0016,3.0,0.0,0.0,0.0,0.6000000000000001,4,0013_0016
0013_0024,0.0,0.0,0.0,1.0,0.6000000000000001,5,0013_0024
0014_0020,0.0,0.0,0.0,1.0,0.6000000000000001,6,0014_0020
0015_0020,0.0,0.0,0.0,1.0,0.6000000000000001,7,0015_0020
0015_0021,0.0,0.0,0.0,1.0,0.6000000000000001,8,0015_0021
0007_0035,2.0,0.0,0.0,0.0,0.4,9,0007_0035
0012_0013,2.0,0.0,0.0,0.0,0.4,10,0012_0013
0012_0014,2.0,0.0,0.0,0.0,0.4,11,0012_0014
0012_0015,2.0,0.0,0.0,0.0,0.4,12,0012_0015
0012_0016,2.0,0.0,0.0,0.0,0.4,13,0012_0016
0015_0014,2.0,0.0,0.0,0.0,0.4,14,0015_0014
0005_0034,1.0,0.0,0.0,0.0,0.2,15,0005_0034
0006_0032,1.0,0.0,0.0,0.0,0.2,16,0006_0032
0006_0035,1.0,0.0,0.0,0.0,0.2,17,0006_0035
0006_0037,1.0,0.0,0.0,0.0,0.2,18,0006_0037
0007_0034,1.0,0.0,0.0,0.0,0.2,19,0007_0034
0011_0013,1.0,0.0,0.0,0.0,0.2,20,0011_0013
