grid_id,population,floating,competitor_cnt,transport_cnt,score,rank,name
0004_0004,4.0,0.0,0.0,0.0,1.0,1,0004_0004
0008_0005,4.0,0.0,0.0,0.0,1.0,2,0008_0005
0009_0010,0.0,0.0,0.0,2.0,1.0,3,0009_0010
0012_0004,0.0,0.0,0.0,2.0,1.0,4,0012_0004
0007_0005,2.0,0.0,1.0,1.0,0.9444444444444444,5,0007_0005
0015_0021,3.0,0.0,0.0,0.0,0.7500000000000001,6,0015_0021
0014_0012,3.0,0.0,3.0,0.0,0.5833333333333335,7,0014_0012
0008_0006,2.0,0.0,0.0,0.0,0.5,8,0008_0006
0009_0003,0.0,0.0,0.0,1.0,0.5,9,0009_0003
0010_0007,0.0,0.0,0.0,1.0,0.5,10,0010_0007
