grid_id,population,floating,competitor_cnt,transport_cnt,score,rank,name
0014_0015,0.0,0.0,0.0,1.0,1.0,1,0014_0015
0015_0011,0.0,0.0,0.0,1.0,1.0,2,0015_0011
0016_0010,3.0,0.0,0.0,0.0,1.0,3,0016_0010
0018_0020,0.0,0.0,0.0,1.0,1.0,4,0018_0020
0019_0007,0.0,0.0,0.0,1.0,1.0,5,0019_0007
0019_0020,0.0,0.0,0.0,1.0,1.0,6,0019_0020
0021_0014,0.0,0.0,0.0,1.0,1.0,7,0021_0014
0022_0014,0.0,0.0,0.0,1.0,1.0,8,0022_0014
0024_0008,0.0,0.0,0.0,1.0,1.0,9,0024_0008
0024_0009,0.0,0.0,0.0,1.0,1.0,10,0024_0009
0009_0009,2.0,0.0,0.0,0.0,0.6666666666666666,11,0009_0009
0028_0022,2.0,0.0,0.0,0.0,0.6666666666666666,12,0028_0022
0031_0043,2.0,0.0,0.0,0.0,0.6666666666666666,13,0031_0043
0040_0032,2.0,0.0,0.0,0.0,0.6666666666666666,14,0040_0032
0006_0011,1.0,0.0,0.0,0.0,0.3333333333333333,15,0006_0011
0008_0009,1.0,0.0,0.0,0.0,0.3333333333333333,16,0008_0009
