grid_id,population,floating,competitor_cnt,transport_cnt,score,rank,name
0035_0015,1.0,0.0,0.0,1.0,1.0,1,0035_0015
0018_0006,0.0,0.0,0.0,1.0,0.6666666666666666,2,0018_0006
0026_0010,0.0,0.0,0.0,1.0,0.6666666666666666,3,0026_0010
0027_0007,0.0,0.0,0.0,1.0,0.6666666666666666,4,0027_0007
0027_0012,0.0,0.0,0.0,1.0,0.6666666666666666,5,0027_0012
0031_0009,0.0,0.0,0.0,1.0,0.6666666666666666,6,0031_0009
0032_0020,0.0,0.0,0.0,1.0,0.6666666666666666,7,0032_0020
0033_0011,2.0,0.0,0.0,0.0,0.6666666666666666,8,0033_0011
0034_0015,0.0,0.0,0.0,1.0,0.6666666666666666,9,0034_0015
0035_0010,2.0,0.0,0.0,0.0,0.6666666666666666,10,0035_0010
0036_0013,2.0,0.0,0.0,0.0,0.6666666666666666,11,0036_0013
0037_0015,2.0,0.0,0.0,0.0,0.6666666666666666,12,0037_0015
0016_0016,1.0,0.0,0.0,0.0,0.3333333333333333,13,0016_0016
0016_0017,1.0,0.0,0.0,0.0,0.3333333333333333,14,0016_0017
0017_0018,1.0,0.0,0.0,0.0,0.3333333333333333,15,0017_0018
0017_0019,1.0,0.0,0.0,0.0,0.3333333333333333,16,0017_0019
0018_0016,1.0,0.0,0.0,0.0,0.3333333333333333,17,0018_0016
0018_0018,1.0,0.0,0.0,0.0,0.3333333333333333,18,0018_0018
0020_0009,1.0,0.0,0.0,0.0,0.3333333333333333,19,0020_0009
0020_0010,1.0,0.0,0.0,0.0,0.3333333333333333,20,0020_0010
